labels,source,path
male_sad,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/JK_sa01.wav
male_sad,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/JK_sa15.wav
male_neutral,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/DC_n13.wav
male_surprise,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/DC_su09.wav
male_neutral,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/DC_n07.wav
male_neutral,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/JK_n20.wav
male_neutral,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/JK_n08.wav
male_sad,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/JE_sa08.wav
male_fear,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/JK_f15.wav
male_fear,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/JK_f01.wav
male_sad,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/KL_sa13.wav
male_sad,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/KL_sa07.wav
male_disgust,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/JK_d03.wav
male_happy,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/DC_h01.wav
male_happy,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/DC_h15.wav
male_happy,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/DC_h14.wav
male_disgust,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/JK_d02.wav
male_sad,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/KL_sa06.wav
male_sad,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/KL_sa12.wav
male_fear,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/JK_f14.wav
male_sad,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/JE_sa09.wav
male_neutral,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/JK_n09.wav
male_neutral,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/JK_n21.wav
male_neutral,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/DC_n06.wav
male_neutral,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/DC_n12.wav
male_surprise,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/DC_su08.wav
male_sad,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/JK_sa14.wav
male_sad,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/JK_sa02.wav
male_neutral,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/DC_n04.wav
male_neutral,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/DC_n10.wav
male_neutral,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/JK_n23.wav
male_fear,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/JK_f02.wav
male_sad,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/KL_sa04.wav
male_sad,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/KL_sa10.wav
male_disgust,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/JK_d14.wav
male_happy,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/DC_h02.wav
male_happy,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/DC_h03.wav
male_disgust,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/JK_d15.wav
male_sad,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/KL_sa11.wav
male_disgust,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/JK_d01.wav
male_sad,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/KL_sa05.wav
male_fear,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/JK_f03.wav
male_neutral,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/JK_n22.wav
male_neutral,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/DC_n11.wav
male_neutral,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/DC_n05.wav
male_sad,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/JK_sa03.wav
male_sad,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/JK_sa13.wav
male_sad,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/JK_sa07.wav
male_neutral,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/DC_n29.wav
male_neutral,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/DC_n01.wav
male_neutral,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/DC_n15.wav
male_neutral,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/JK_n26.wav
male_fear,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/JK_f07.wav
male_fear,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/JK_f13.wav
male_happy,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/JK_h08.wav
male_sad,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/KL_sa01.wav
male_disgust,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/JK_d05.wav
male_sad,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/KL_sa15.wav
male_disgust,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/JK_d11.wav
male_fear,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/DC_f08.wav
male_happy,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/DC_h13.wav
male_angry,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/KL_a09.wav
male_happy,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/DC_h07.wav
male_happy,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/DC_h06.wav
male_happy,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/DC_h12.wav
male_angry,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/KL_a08.wav
male_fear,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/DC_f09.wav
male_disgust,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/JK_d10.wav
male_sad,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/KL_sa14.wav
male_disgust,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/JK_d04.wav
male_happy,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/JK_h09.wav
male_fear,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/JK_f12.wav
male_fear,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/JK_f06.wav
male_neutral,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/JK_n27.wav
male_neutral,SAVEE,/Users/devpatelio/Downloads/Coding/Python/pyTorch/audio_mood/ALL/DC_n14.wav
